PID,RAJ2000,DECJ2000,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Nobsreq,Nrepeat,priority,surveypriority,Nobsdone
cosmo,178.148722,-0.991939,24.2078857421875,24.147838592529297,24.190093994140625,23.90925407409668,25.202945709228516,22.505855560302734,22.33165740966797,10.0,1.0,1.0,1.0,0.0
cosmo,178.289342,-0.990572,24.426319122314453,23.970792770385742,24.036893844604492,24.19148826599121,24.649673461914062,23.03714942932129,nan,10.0,1.0,1.0,1.0,0.0
cosmo,178.049907,-0.990126,24.121461868286133,24.09738540649414,24.169692993164062,23.701942443847656,23.665163040161133,22.666288375854492,24.12100601196289,10.0,1.0,1.0,1.0,0.0
cosmo,178.189522,-0.987528,24.890972137451172,24.262836456298828,24.322368621826172,24.481786727905273,23.388042449951172,22.96127700805664,22.858299255371094,10.0,1.0,1.0,1.0,0.0
cosmo,178.280353,-0.987502,24.484445571899414,23.936721801757812,23.970596313476562,23.632997512817383,22.814685821533203,22.436870574951172,22.90283203125,10.0,1.0,1.0,1.0,0.0
cosmo,178.467594,-0.986369,24.032358169555664,23.63053321838379,23.681007385253906,23.50345230102539,22.94764518737793,21.972415924072266,21.104333877563477,10.0,1.0,1.0,1.0,0.0
cosmo,178.07694,-0.986232,24.10176658630371,24.089630126953125,24.10930061340332,24.09806251525879,23.627328872680664,22.817113876342773,nan,10.0,1.0,1.0,1.0,0.0
cosmo,178.099607,-0.983951,24.840686798095703,24.237279891967773,24.2846736907959,23.513328552246094,23.391942977905273,22.650667190551758,22.75122833251953,10.0,1.0,1.0,1.0,0.0
cosmo,178.111013,-0.982969,24.838016510009766,24.279245376586914,24.385377883911133,24.621814727783203,23.601943969726562,24.381567001342773,nan,10.0,1.0,1.0,1.0,0.0
cosmo,178.241394,-0.982385,25.43893051147461,24.4173526763916,24.287628173828125,23.58650016784668,23.153350830078125,22.638254165649414,22.14103889465332,10.0,1.0,1.0,1.0,0.0
cosmo,178.328991,-0.980217,24.0074462890625,23.977569580078125,24.110376358032227,24.82103157043457,24.107948303222656,22.554931640625,22.313827514648438,10.0,1.0,1.0,1.0,0.0
cosmo,178.099705,-0.976419,24.243785858154297,23.718769073486328,23.836774826049805,24.041128158569336,23.881513595581055,22.233661651611328,22.17458724975586,10.0,1.0,1.0,1.0,0.0
cosmo,178.07262,-0.976127,25.044086456298828,23.992204666137695,24.04444694519043,23.96542739868164,22.953569412231445,22.591150283813477,22.33594512939453,10.0,1.0,1.0,1.0,0.0
cosmo,178.159244,-0.975735,25.005767822265625,24.161914825439453,24.34453010559082,24.716672897338867,23.692157745361328,23.655187606811523,22.97120475769043,10.0,1.0,1.0,1.0,0.0
cosmo,178.079147,-0.974606,25.283708572387695,24.03940773010254,24.386268615722656,23.940898895263672,23.695655822753906,23.25954246520996,22.73543930053711,10.0,1.0,1.0,1.0,0.0
cosmo,178.051594,-0.972019,25.028501510620117,24.066911697387695,23.91379165649414,23.623977661132812,23.65192413330078,23.174591064453125,22.61243438720703,10.0,1.0,1.0,1.0,0.0
cosmo,178.241591,-0.971227,25.37807273864746,24.091148376464844,23.807783126831055,23.89145851135254,23.736316680908203,24.066923141479492,24.009855270385742,10.0,1.0,1.0,1.0,0.0
cosmo,178.499198,-0.970486,25.094816207885742,23.987340927124023,23.771732330322266,23.67618179321289,24.01319694519043,23.693838119506836,22.84823226928711,10.0,1.0,1.0,1.0,0.0
cosmo,178.235657,-0.969454,25.1662540435791,24.258949279785156,24.256393432617188,24.713037490844727,23.959020614624023,23.50478172302246,24.23939323425293,10.0,1.0,1.0,1.0,0.0
cosmo,178.443339,-0.968177,25.015737533569336,24.199983596801758,24.453384399414062,24.073637008666992,25.110904693603516,23.186946868896484,22.635255813598633,10.0,1.0,1.0,1.0,0.0
